epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,7150.61,1.42613,0.67432,1.25228,0.94598,0.93093,0.97209,0.59305,1.43796,0.56561,1.30087,0.00208,0.00208,0.00208
122,7209.11,1.42107,0.6688,1.25263,0.94512,0.93295,0.97219,0.59326,1.4382,0.56494,1.30089,0.002014,0.002014,0.002014
123,7269.76,1.41133,0.66473,1.23865,0.94736,0.93092,0.97229,0.59465,1.43774,0.56431,1.30084,0.001948,0.001948,0.001948
124,7328.21,1.41393,0.66683,1.2436,0.94654,0.93283,0.973,0.59539,1.43802,0.56371,1.30123,0.001882,0.001882,0.001882
125,7387.69,1.40676,0.65251,1.23784,0.94629,0.93487,0.97329,0.59503,1.43796,0.56338,1.30095,0.001816,0.001816,0.001816
126,7450.32,1.40745,0.66261,1.24245,0.94746,0.93582,0.97344,0.59597,1.43765,0.56244,1.30098,0.00175,0.00175,0.00175
127,7510.78,1.4119,0.66121,1.2404,0.94755,0.93452,0.97364,0.59638,1.43655,0.56244,1.3002,0.001684,0.001684,0.001684
128,7569.46,1.39695,0.65174,1.22733,0.94816,0.93534,0.974,0.59701,1.43622,0.56125,1.29935,0.001618,0.001618,0.001618
129,7628.66,1.38995,0.64695,1.21829,0.9476,0.93537,0.97367,0.59734,1.43572,0.56076,1.29878,0.001552,0.001552,0.001552
130,7687.16,1.39547,0.64572,1.22702,0.94503,0.93871,0.97368,0.59726,1.43478,0.56013,1.29799,0.001486,0.001486,0.001486
131,7745.91,1.39149,0.64473,1.2245,0.94534,0.9387,0.97428,0.59736,1.43414,0.55971,1.29727,0.00142,0.00142,0.00142
132,7804.71,1.39549,0.64256,1.22927,0.94504,0.93885,0.97446,0.59869,1.43356,0.5589,1.29671,0.001354,0.001354,0.001354
133,7863.16,1.37565,0.63114,1.2183,0.94646,0.93969,0.97457,0.59815,1.43286,0.55797,1.29599,0.001288,0.001288,0.001288
134,7922.07,1.39447,0.63868,1.23238,0.94606,0.94079,0.97466,0.59865,1.43247,0.55733,1.2957,0.001222,0.001222,0.001222
135,7980.64,1.38422,0.63639,1.22771,0.94479,0.94247,0.97473,0.59854,1.43203,0.55684,1.29518,0.001156,0.001156,0.001156
136,8038.92,1.38093,0.63177,1.22315,0.94398,0.94426,0.97551,0.59875,1.43215,0.55609,1.2948,0.00109,0.00109,0.00109
137,8097.51,1.3651,0.6235,1.21625,0.94466,0.94397,0.97559,0.5991,1.43173,0.55553,1.29452,0.001024,0.001024,0.001024
138,8157.25,1.36386,0.61529,1.21355,0.9453,0.94358,0.97561,0.59844,1.43164,0.555,1.29417,0.000958,0.000958,0.000958
139,8215.55,1.37181,0.62415,1.2152,0.94565,0.94397,0.97581,0.59952,1.431,0.55503,1.29369,0.000892,0.000892,0.000892
140,8273.63,1.36849,0.62435,1.21912,0.94618,0.94301,0.97597,0.59977,1.43061,0.55447,1.29365,0.000826,0.000826,0.000826
141,8333.87,1.33869,0.54081,1.22726,0.94661,0.94261,0.97562,0.59902,1.43009,0.55379,1.2934,0.00076,0.00076,0.00076
142,8395.85,1.32499,0.53384,1.22061,0.94709,0.94301,0.97565,0.59927,1.42972,0.55268,1.2931,0.000694,0.000694,0.000694
143,8456.66,1.32282,0.52515,1.22227,0.94726,0.94205,0.97588,0.59961,1.42928,0.55204,1.29303,0.000628,0.000628,0.000628
144,8514.03,1.31707,0.51995,1.2175,0.94841,0.94253,0.97589,0.60003,1.42896,0.55134,1.29254,0.000562,0.000562,0.000562
145,8571.41,1.31027,0.51508,1.21054,0.94935,0.94253,0.97596,0.60092,1.4286,0.55051,1.29231,0.000496,0.000496,0.000496
146,8629,1.30935,0.51399,1.20864,0.95101,0.94205,0.976,0.60079,1.42843,0.55013,1.29199,0.00043,0.00043,0.00043
147,8686.71,1.30101,0.50907,1.21001,0.95068,0.94161,0.97586,0.60112,1.42895,0.54958,1.29258,0.000364,0.000364,0.000364
148,8743.96,1.31033,0.50879,1.21096,0.95027,0.94301,0.97597,0.60188,1.42853,0.54848,1.29235,0.000298,0.000298,0.000298
149,8801.42,1.28936,0.50335,1.19976,0.951,0.94301,0.97618,0.60266,1.42834,0.54798,1.29218,0.000232,0.000232,0.000232
150,8860.12,1.29252,0.50297,1.20353,0.9512,0.94283,0.97639,0.60269,1.42785,0.54732,1.29188,0.000166,0.000166,0.000166
