epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,6276.79,1.31444,0.57494,1.11537,0.96793,0.96834,0.98572,0.63473,1.37979,0.46866,1.17392,0.004522,0.004522,0.004522
85,6345.22,1.32061,0.57851,1.11412,0.97016,0.96537,0.98533,0.63408,1.38066,0.46703,1.17408,0.004456,0.004456,0.004456
86,6410.54,1.31616,0.5669,1.11191,0.96758,0.96839,0.9855,0.63136,1.37939,0.4659,1.17365,0.00439,0.00439,0.00439
87,6476.74,1.31814,0.57455,1.118,0.96864,0.97174,0.98582,0.63231,1.37971,0.46471,1.17588,0.004324,0.004324,0.004324
88,6541.26,1.31026,0.56918,1.10772,0.9694,0.9709,0.98598,0.63213,1.37891,0.46434,1.17366,0.004258,0.004258,0.004258
89,6606.66,1.30013,0.56431,1.10334,0.97257,0.97174,0.98671,0.6333,1.37751,0.46435,1.17286,0.004192,0.004192,0.004192
90,6671.41,1.31145,0.57332,1.11101,0.97393,0.97031,0.98538,0.63183,1.37798,0.46394,1.17229,0.004126,0.004126,0.004126
91,6736.8,1.30244,0.56636,1.1101,0.97078,0.97061,0.98424,0.63303,1.37649,0.46271,1.17169,0.00406,0.00406,0.00406
92,6802.86,1.29594,0.56449,1.10518,0.97266,0.9711,0.98488,0.63354,1.37652,0.46202,1.1722,0.003994,0.003994,0.003994
93,6868.6,1.2929,0.55726,1.10101,0.97448,0.96928,0.98518,0.63346,1.37606,0.46053,1.17086,0.003928,0.003928,0.003928
94,6936.14,1.29399,0.55811,1.10215,0.97532,0.96839,0.98476,0.63321,1.37554,0.45985,1.17114,0.003862,0.003862,0.003862
95,7000.27,1.28801,0.55461,1.10483,0.97681,0.96822,0.98487,0.63454,1.37466,0.45921,1.1706,0.003796,0.003796,0.003796
96,7082.78,1.28772,0.55128,1.1023,0.97476,0.96743,0.98517,0.63507,1.37466,0.4583,1.1699,0.00373,0.00373,0.00373
97,7261.32,1.28508,0.54975,1.10013,0.97825,0.96743,0.98558,0.63512,1.37408,0.45673,1.17038,0.003664,0.003664,0.003664
98,7448.49,1.28682,0.55034,1.09616,0.97771,0.96631,0.98518,0.6336,1.3754,0.45555,1.17051,0.003598,0.003598,0.003598
99,7625.15,1.27773,0.54719,1.09856,0.9749,0.96714,0.98531,0.63232,1.37694,0.4557,1.17171,0.003532,0.003532,0.003532
100,7813.11,1.27905,0.55065,1.09587,0.97492,0.96504,0.98555,0.6329,1.37576,0.45485,1.17143,0.003466,0.003466,0.003466
101,7942.77,1.27254,0.54223,1.09596,0.97388,0.96411,0.98467,0.63373,1.37383,0.4539,1.17164,0.0034,0.0034,0.0034
102,8079.04,1.26948,0.54173,1.09049,0.97018,0.966,0.98438,0.63492,1.37384,0.45297,1.17153,0.003334,0.003334,0.003334
103,8227.12,1.26955,0.53969,1.09274,0.97612,0.96408,0.98537,0.63397,1.37387,0.45147,1.17163,0.003268,0.003268,0.003268
104,8378.51,1.26781,0.53705,1.08619,0.97634,0.96648,0.98577,0.63518,1.37388,0.45065,1.17084,0.003202,0.003202,0.003202
105,8501.11,1.26075,0.53731,1.09034,0.97679,0.96648,0.98615,0.63607,1.37404,0.45124,1.17079,0.003136,0.003136,0.003136
106,8641.82,1.2572,0.53488,1.08984,0.97961,0.96695,0.98651,0.6361,1.37457,0.45054,1.1707,0.00307,0.00307,0.00307
107,8780.77,1.2472,0.52709,1.08099,0.97359,0.97118,0.98641,0.63626,1.37506,0.45024,1.17116,0.003004,0.003004,0.003004
108,8919.98,1.26069,0.53194,1.08623,0.9757,0.97174,0.98672,0.63635,1.37656,0.44938,1.17201,0.002938,0.002938,0.002938
109,9040.9,1.24237,0.52345,1.0799,0.97592,0.97052,0.98674,0.63709,1.3762,0.44947,1.1717,0.002872,0.002872,0.002872
110,9181.59,1.24855,0.53149,1.08414,0.97375,0.97222,0.98683,0.63706,1.37606,0.44911,1.1718,0.002806,0.002806,0.002806
111,9314.43,1.25083,0.52542,1.08157,0.97318,0.97306,0.98713,0.6374,1.37486,0.44911,1.17055,0.00274,0.00274,0.00274
112,9442.81,1.24847,0.52633,1.07865,0.97227,0.97379,0.98667,0.63704,1.37559,0.44865,1.17067,0.002674,0.002674,0.002674
113,9593.62,1.24524,0.52308,1.07725,0.97591,0.96989,0.98663,0.63796,1.37405,0.44816,1.16973,0.002608,0.002608,0.002608
114,9776.28,1.23453,0.52045,1.07562,0.97734,0.9709,0.98686,0.63895,1.37291,0.44736,1.16933,0.002542,0.002542,0.002542
115,9952.05,1.24196,0.51771,1.08299,0.97756,0.97079,0.98685,0.63877,1.37319,0.44617,1.16966,0.002476,0.002476,0.002476
116,10112.4,1.23343,0.5139,1.07372,0.97787,0.97174,0.98688,0.64013,1.37327,0.44605,1.16906,0.00241,0.00241,0.00241
117,10232.7,1.22803,0.51408,1.06697,0.97713,0.97366,0.98696,0.64014,1.37258,0.44606,1.16834,0.002344,0.002344,0.002344
118,10375.5,1.23465,0.51689,1.07599,0.97765,0.97318,0.98701,0.63906,1.37134,0.4452,1.16743,0.002278,0.002278,0.002278
119,10498.1,1.22872,0.515,1.06578,0.97694,0.97405,0.98705,0.641,1.37101,0.44445,1.16742,0.002212,0.002212,0.002212
120,10622.2,1.22698,0.51268,1.07151,0.97743,0.97414,0.9872,0.63997,1.37103,0.44417,1.16683,0.002146,0.002146,0.002146
121,10748.6,1.22037,0.50662,1.06936,0.97725,0.97414,0.98709,0.64048,1.37102,0.44344,1.16667,0.00208,0.00208,0.00208
122,10877.6,1.21704,0.50122,1.06906,0.97862,0.97414,0.9871,0.64105,1.37094,0.44323,1.16678,0.002014,0.002014,0.002014
123,11002,1.21422,0.50386,1.06547,0.97907,0.97462,0.98729,0.64134,1.37077,0.44313,1.16701,0.001948,0.001948,0.001948
124,11123.7,1.21776,0.50334,1.06996,0.97866,0.97462,0.9873,0.64089,1.36996,0.44303,1.16659,0.001882,0.001882,0.001882
125,11241.7,1.2114,0.49804,1.06744,0.97695,0.97447,0.98746,0.6402,1.36972,0.44195,1.16637,0.001816,0.001816,0.001816
